date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2019-01-01,1,-1.9,2.4,0,,73.8,4,16.7,1033.5,0
2019-01-02,0.6,-1.5,2.7,6.4,,2.3,13.9,48.2,1032.7,0
2019-01-03,-2.6,-4.4,-1.1,0.1,10,340.2,5.5,33.3,1039,48
2019-01-04,-3.1,-5.8,-0.4,0,20,239.8,2.4,14.8,1038.6,6
2019-01-05,-1.9,-2.7,-1,12.4,30,154,4.8,20.4,1034.7,0
2019-01-06,-1.2,-2.1,-0.6,15.8,300,345,0.8,14.8,1033.9,0
2019-01-07,-0.2,-1,1.5,0.8,340,2.7,3,13,1034.8,0
2019-01-08,0.9,-0.5,4.3,2.2,310,146.6,9.9,44.5,1023.7,8
2019-01-09,-0.2,-2.7,3,15,290,3,11.4,38.9,1016,0
2019-01-10,-2.6,-3.6,-2,2.6,480,359.7,2.5,16.7,1023.1,0
2019-01-11,-3.4,-7.7,-1.6,1.6,550,135.3,3.8,16.7,1028.4,54
2019-01-12,-1.5,-3.2,1.1,1.4,520,152.1,8.6,22.2,1027.4,0
2019-01-13,0.5,-0.6,1.5,19.2,510,153.1,14.6,37,1016.1,0
2019-01-14,2.6,-0.5,6.3,18.2,410,1.2,14.3,53.7,1013.2,0
2019-01-15,0.6,-0.9,3.2,1.5,390,137.2,6.4,37,1025.1,93
2019-01-16,2.3,-1.3,6.8,0,380,132.9,11.1,25.9,1017.6,492
2019-01-17,4.7,0,7.5,0.1,370,105.7,13.7,31.5,1011.5,25
2019-01-18,-0.7,-4.4,3.1,0.9,350,338.8,5.6,33.3,1019.2,184
2019-01-19,-4.1,-6.7,-1.1,0,340,194.1,4.2,14.8,1017.7,467
2019-01-20,-1.3,-4,2.5,0,340,128.2,9,20.4,1016.1,175
2019-01-21,-1.9,-4.7,-0.5,0,340,76.7,4.7,13,1020.4,0
2019-01-22,-3.9,-7.1,-0.1,0,330,171.2,4.5,14.8,1012.9,360
2019-01-23,-5,-8.4,-0.9,0,320,141.9,6,14.8,1000.5,414
2019-01-24,-4,-5.9,-1.4,0,320,148.2,7.3,14.8,1009.7,0
2019-01-25,-4.3,-6.5,-1.1,0.2,350,238.4,5.1,20.4,1019.3,192
2019-01-26,-1.3,-4,1.8,2.3,370,146.4,12.9,29.6,1017.3,0
2019-01-27,0.6,-3.4,3.6,0.9,330,146.8,6.9,25.9,999.5,26
2019-01-28,0.6,-1.7,2.9,0.6,330,161.2,7.2,20.4,1003.1,19
2019-01-29,-1.1,-3.7,3.2,2.8,390,306.7,4.3,31.5,1007.9,290
2019-01-30,2.5,-4.1,4.5,0,370,160.1,17.9,57.4,998.4,58
2019-01-31,0.2,-3.7,7.2,0,350,120.4,9.8,57.4,999.1,81
2019-02-01,5.4,0.4,9.5,1.2,350,273.9,13.7,61.1,990.8,0
2019-02-02,1.6,-0.5,4,1.5,330,293.8,3.7,16.7,997.1,206
2019-02-03,0,-2,1.9,19.8,320,341.7,10,29.6,1014.4,0
2019-02-04,-1.1,-3.3,2.6,0,430,351.1,4.5,14.8,1030,508
2019-02-05,-2.1,-5.3,2.8,0,400,347.3,5,14.8,1031,366
2019-02-06,-5.7,-8.8,-3.7,0,390,337.6,3.6,11.1,1030.1,555
2019-02-07,-3.4,-7.8,0.8,0,380,328.2,3.3,13,1022.2,6
2019-02-08,3,-2.4,8.4,0,340,109.7,6.1,33.3,1021.1,472
2019-02-09,6.4,4,9.5,0,330,133.5,10.6,33.3,1016.7,84
2019-02-10,8.5,0.6,13.3,2.1,270,149.3,21.6,77.8,1008.4,215
2019-02-11,1.5,0,3.8,5.2,250,357.2,8.4,37,1021.1,6
2019-02-12,1.3,-1.9,5.1,0.7,250,24.7,5.7,18.5,1035.7,26
2019-02-13,2.2,-1.1,8.2,0,250,131.4,6.8,16.7,1038.3,577
2019-02-14,4.1,-2.1,9.4,0,240,126.8,7,20.4,1037.6,553
2019-02-15,5.4,-0.7,9.9,0,240,126.8,8.6,20.4,1033.9,590
2019-02-16,7.4,-1.3,15.1,0,240,139.4,9.3,20.4,1030.6,592
2019-02-17,7.8,3.8,14.6,0,240,133.7,10.1,25.9,1027.2,595
2019-02-18,6,-0.2,11.4,0,240,141.4,8.2,24.1,1022.8,597
2019-02-19,5.2,-0.7,12.3,0,240,150.1,7.5,16.7,1023.2,363
2019-02-20,5.9,1.7,11.8,0,220,145.8,7.5,20.4,1025.7,430
2019-02-21,6.9,3.3,13.8,0,210,146.7,8.5,20.4,1029.9,532
2019-02-22,5.7,1.6,9.2,0,190,348.7,5.5,22.2,1034.4,52
2019-02-23,3.1,-1,8.5,0,170,328.7,5.8,24.1,1036,393
2019-02-24,0.5,-4.1,8,0,160,259,4.3,18.5,1037.5,477
2019-02-25,2.2,-3.8,11.4,0,150,303.1,3.8,18.5,1037.1,621
2019-02-26,5.2,-1.7,13.3,0,120,269,5.8,20.4,1034.6,584
2019-02-27,8.8,4.1,15.6,0,100,139.4,8.4,20.4,1028.3,629
2019-02-28,11.3,6.7,18.9,0,90,98.4,13.4,25.9,1021.2,622
2019-03-01,7,4.3,11.1,10.1,0,159.9,7,25.9,1018.6,0
2019-03-02,5.7,3.5,9.7,0.3,0,279.1,3.8,13,1020.8,32
2019-03-03,8.3,3.7,12.7,0,0,134.9,9.5,29.6,1017.7,505
2019-03-04,9.5,5.4,16,0.5,0,144.7,15.8,44.5,1007.2,232
2019-03-05,6.6,3.8,11.1,0,0,146.4,7.5,37,1013.8,58
2019-03-06,10.1,4.3,15.4,0,0,150.7,23,92.6,1009.2,357
2019-03-07,9.1,5.6,14.2,5,0,150.6,17.9,94.5,1006.3,129
2019-03-08,5.3,3.1,8.8,0,0,138.2,7.5,18.5,1018.7,119
2019-03-09,7.5,4.7,11.6,1.3,0,147.1,11.2,27.8,1022.3,58
2019-03-10,9.4,6.1,15.5,8.9,0,134.1,14.3,48.2,1017.1,95
2019-03-11,3.2,-0.2,6.4,5.1,0,37.8,14.4,42.6,1024.4,46
2019-03-12,4.8,0.9,8.3,0,0,139.6,12.3,42.6,1023.8,467
2019-03-13,5.3,1.1,9.2,0.8,0,151.8,11.9,44.5,1015.6,236
2019-03-14,2.8,0.4,4.8,10.6,0,155.9,12.3,46.3,1015.8,0
2019-03-15,4.7,2.3,7.2,21.7,0,136.8,17.5,48.2,1016.6,0
2019-03-16,10,5.6,16.1,1.3,0,165.4,11.1,33.3,1016.8,525
2019-03-17,10.4,3.4,16.1,6.2,0,67.9,13.1,46.3,1010.4,383
2019-03-18,3.4,0.4,6.7,3.5,0,248.1,4.8,27.8,1021.7,152
2019-03-19,2.4,-2.1,6.6,0,0,306.1,5.9,29.6,1028.2,185
2019-03-20,2.9,-3.2,9,0,0,104.7,6.2,24.1,1033.8,692
2019-03-21,5.7,-1.4,12.4,0,0,124.3,8,24.1,1031.8,698
2019-03-22,7.4,-1.6,14.9,0,0,54.5,6.2,24.1,1030.3,660
2019-03-23,10.3,5.2,17.2,0,0,122.4,9.4,24.1,1027.6,702
2019-03-24,11.1,3.8,17.3,0,0,116.6,8.8,25.9,1023.1,660
2019-03-25,5.3,1.9,8.6,1.1,0,21.5,7.8,29.6,1023.2,198
2019-03-26,3.2,-0.6,7.2,1.5,0,339.3,10.1,25.9,1029.4,240
2019-03-27,4.1,-0.9,9,0,0,346.4,7.8,27.8,1031.1,
2019-03-28,5.3,-1.9,12.8,0,0,332.9,5.8,29.6,1031.4,
2019-03-29,7.8,0,15.3,0,0,23.4,7.6,25.9,1028.7,
2019-03-30,10.3,5.2,16.7,0,0,131.2,8.5,27.8,1024.1,
2019-03-31,8.4,-2,16.8,0,0,,9.4,33.8,1020.1,714
